Time,Duration_Min,Activity,Presenter,Notes
17:00-17:30,30,Setup and tech check,Vertex Minds production team,Arrival of founders and investors; final AV checks
17:30-17:35,5,Welcome and introduction,Daniel Reeves,CEO opening remarks; program overview
17:35-17:45,10,NovaTech AI pitch,Marco Bianchi,ML infrastructure platform
17:45-17:50,5,Q&A NovaTech AI,Investor panel,
17:50-18:00,10,GreenLoop pitch,Luca Ferretti,Circular economy software
18:00-18:05,5,Q&A GreenLoop,Investor panel,
18:05-18:15,10,MindBridge pitch,Anna Kowalski,AI-powered cognitive tools
18:15-18:20,5,Q&A MindBridge,Investor panel,
18:20-18:30,10,Break,—,Refreshments; informal networking
18:30-18:40,10,DataPulse pitch,Simone Marchetti,Enterprise data analytics
18:40-18:45,5,Q&A DataPulse,Investor panel,
18:45-18:55,10,UrbanFlow pitch,Diana Rossi,Smart city logistics platform
18:55-19:00,5,Q&A UrbanFlow,Investor panel,
19:00-19:15,15,Closing remarks,Daniel Reeves & Ava Lindström,Thank you; next steps announcement
19:15-21:00,105,Networking aperitif,All,Wine; small bites; one-on-one founder meetings
