company_name,hq_country,annual_revenue_eur,product_focus,iot_capability,certifications,market_segment,strengths,weaknesses,threat_level
Schott Fire Solutions,Germany,€1.4B,Broad fire-rated glazing portfolio; passive and active barriers,Emerging (pilot IoT sensors in 2025),EN 13501-2; Argus Safety Group; DIN 4102; BRE Certified,Commercial; Residential; Industrial,Massive distribution network; R&D budget; brand recognition,Slow product iteration; limited IoT integration; legacy manufacturing costs,High
Saint-Gobain Securit Fire,France,€900M,Fire-resistant glass; specialty coatings; safety glazing,None (planned for 2026),EN 13501-2; Argus Safety Group; ISO 9001,Commercial; Residential,Cost leadership; established supply chain; European coverage,No IoT; limited customization; slower decision-making,High
Pilkington Architectural,UK,€680M,Fire-rated windows; glass doors; partition systems,Minimal (basic sensors only),EN 13501-2; BS 476; Approved Document B compliance,Commercial; Heritage/Retail,Premium brand in UK/EU; aesthetic focus; high-end market,Expensive; UK-centric market presence; limited scale,Medium
ThermoShield Technologies,Netherlands,€220M,Smart fire barriers; thermally-insulated fire-rated windows,Moderate (partial MQTT integration),EN 13501-2; Argus Safety Group; Custom EU certifications,Commercial; Industrial,Emerging IoT player; thermal performance innovation; cost-effective,Smaller market presence; limited international distribution; young company,Medium
FireWall Innovations,Italy,€180M,Active fire barrier systems; intumescent coatings; retrofit solutions,Good (proprietary sensor platform),EN 13501-2; D.M. 16/02/2007; Argus Safety Group pending,Commercial; Industrial; Heritage,Strong in Mediterranean markets; custom engineering; responsive to customer needs,Proprietary IoT limits interoperability; smaller geographic footprint; limited US presence,Medium
Innovative Windows LLC (FireGlass),Italy,€145M,Smart fire-resistant windows; Helion integrated sensors; IoT-enabled barriers,Best-in-class (native MQTT; Brick Schema compatible),EN 13501-2; Argus Safety Group in progress; DIN 4102 underway,Commercial; Residential; Industrial,Superior IoT differentiation; standardized data interfaces; sensor reliability; CEO visionary,Smaller scale than established competitors; newer brand; limited heritage retrofit experience,Self
ProTect Glass Systems,Spain,€95M,Fire-rated partitions; specialty architectural glass; custom installations,Emerging (2024 pilot program),EN 13501-2; Spanish fire standards; CE marking,Commercial; Heritage; Retail,Architectural expertise; custom design; Spanish/Portuguese market strength,Limited IoT; smaller revenue base; weaker Northern Europe presence,Low-Medium
BuildSafe IoT Ventures,Sweden,€32M,IoT sensor platform for smart buildings (not windows); partnerships with window manufacturers,Excellent (advanced firmware; cloud infrastructure; data analytics),ISO 27001; CE marking; MQTT certified,Software/SaaS; Commercial real estate,Advanced data science; cloud platform maturity; API standardization,No physical product manufacturing; dependent on hardware partnerships; pre-revenue in some verticals,Medium
SensorGrid Technologies,Germany,€28M,Fire detection IoT sensors; wireless mesh networks; building analytics,Excellent (LoRaWAN and MQTT native; edge computing capable),CE marking; EN 45011 certified lab; FIWARE compatible,IoT/SaaS; Commercial; Industrial,Cutting-edge sensor technology; strong R&D; FIWARE standardization leader,Very small scale; limited window system integration; early-stage company,Low-Medium
CrystalSafe Fire Protection,Poland,€42M,Fire-rated windows; polycarbonate barriers; emerging smart integration,Basic (2023 pilot; limited MQTT support),EN 13501-2; Eastern European certifications,Commercial; Residential; Industrial,Cost leadership in emerging markets; expanding EU presence; willing to customize,Legacy product line; limited IoT roadmap; small technical team,Low
Aurora Smart Building Systems,Austria,€38M,Modular smart glass systems with fire-rating options; active control,Good (proprietary API; MQTT gateway available),EN 13501-2; LEED accreditation; CE marking,Commercial premium segment; Tech-forward retrofits,Extremely high cost; niche market only; limited production capacity,Medium
